index,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
2629,M&H Whisky Distillery,Israel,9,9,86.58,C
2634,Mac Dugan,Scotland,15,9,82.12,D
2640,Mac Malden,Scotland,5,4,77.03,E
2642,Mac NaMara,Scotland,2,2,75.55,E
2645,Mac Queen,Scotland,4,1,77.50,E
2647,Mac Spey,Scotland,1,1,72.00,F
2648,Macallan,Scotland,2301,1645,88.24,C
2650,Macardo,Switzerland,13,6,78.67,E
2651,MacArthur's,Scotland,10,4,79.52,E
2652,MacDonald's,Scotland,1,1,84.75,D
2653,Macduff,Scotland,497,353,85.17,C
2655,Macgregor's,Scotland,6,1,85.56,C
2656,Machrie Moor,Scotland,16,16,83.19,D
2657,Mackenzie,Scotland,2,2,77.00,E
2658,Mackinlay's,Scotland,33,13,80.45,D
2660,Mackmyra,Sweden,243,197,82.29,D
2661,Maclachlans,Scotland,1,1,86.00,C
2664,Macleod's,Scotland,37,23,82.30,D
2666,MacNaughton,Canada,4,2,76.75,E
2667,MacPhail's,Scotland,77,59,88.24,C
2669,Magic Cask,Scotland,1,1,88.00,C
2670,Magilligan,Ireland,4,2,80.27,D
2671,Magnificent Mellie,Scotland,1,1,87.33,C
2673,Maier's,Germany,1,1,51.33,G
2675,Maison Benjamin Kuentz,France,3,3,80.33,D
2676,Major Gunn's,Scotland,2,1,55.00,G
2678,Majority,Scotland,1,1,73.00,F
2679,Maker's 46,United States,7,3,84.51,D
2680,Maker's Mark,United States,191,52,81.38,D
2683,Malt Pedigree,Scotland,4,4,81.58,D
2685,Malts of Islay - Àlainn,Scotland,1,1,87.92,C
2686,Malts of Islay - Trom,Scotland,1,1,85.33,C
2688,Man o'Sword,Scotland,3,1,80.00,D
2691,Mandelbachtal,Germany,2,1,89.33,C
2692,Manderley,United States,1,1,84.00,D
2693,Mandlberggut,Austria,4,2,50.46,G
2696,Mannochmore,Scotland,271,188,84.09,D
2697,Mansion House,Scotland,5,3,68.61,G
2698,Maple Leaf,Canada,1,1,36.67,G
2701,Marder,Germany,8,6,79.62,E
2702,Margadale,Scotland,3,3,86.50,C
