Brand_ID,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
2213,Jakubiak,Poland,1,1,82,D
2214,James Ainslie & Co.,Scotland,1,NA,NA,G
2215,James Caldwell & Son,Scotland,1,NA,NA,G
2216,James E. Pepper,United States,2,NA,NA,G
2217,James E. Pepper 1776,United States,10,7,82.1,D
2218,James Eadie's,United Kingdom,2,1,85.6,C
2219,James Gordon,Scotland,7,2,85.67,C
2220,James Joyce No. 15,Ireland,1,1,83,D
2221,James King,Scotland,8,1,55,G
2222,James Martin's,Scotland,12,7,82.48,D
2223,James Oliver,United States,3,1,81.75,D
2224,James T. Kirk,United States,1,NA,NA,G
2225,James Thompson & Brother,United States,1,NA,NA,G
2226,Jameson,Ireland,140,95,80.18,D
2227,Jamie O Six,Scotland,1,NA,NA,G
2228,Jamie Stuart,Scotland,2,NA,NA,G
2229,Jamie's,Scotland,1,NA,NA,G
2230,Jan de Groot's Dram,Scotland,1,NA,NA,G
2231,Jane Doe,Ireland,5,3,84.19,D
2232,Japanese Blended Whisky,Japan,2,1,87.82,C
2233,Japonism,Scotland,1,1,88.67,C
2234,Jardine's,Scotland,1,NA,NA,G
2235,Jas. Gordon & Co,Scotland,1,NA,NA,G
2236,Jaume I,Scotland,1,NA,NA,G
2237,Jeffer's Creek,United States,1,1,64,G
2238,Jefferson's,United States,79,35,84.66,D
2239,Jenaer Holzbock,Germany,6,1,75,E
2240,Jeremiah Weed,United States,1,1,1,G
2241,Jericho,Scotland,7,4,80.39,D
2242,Jersey Cream,United States,4,NA,NA,G
2243,Jersey Spirits Distilling Co.,United States,1,NA,NA,G
2244,Jesse James,United States,2,1,63,G
2245,Jessie James,United States,2,1,64,G
2246,Jewels of Islay,Scotland,1,1,89,C
2247,Jewish Whisky Company,United States,5,2,82,D
2248,JF Strothman Distillery,United States,1,NA,NA,G
2249,Jim Beam,United States,180,87,72.75,F
2250,Jiu Hai Bu Gan,,2,1,78,E
2251,Joce City,Sweden,1,1,49,G
2252,Jockey Club,Scotland,2,NA,NA,G
2253,Joey Dunlop Foundation,United Kingdom,NA,NA,NA,G
2254,John B. Stetson,United States,2,2,72.72,F
2255,John Barr,Scotland,8,2,68.63,G
2256,John Begg,Scotland,9,2,84.34,D
2257,John Brown's Special,Scotland,1,NA,NA,G
2258,John Doe,United States,1,NA,NA,G
2259,John Doe,Ireland,1,1,84,D
2260,John Drake,Scotland,2,1,55,G
2261,John Dunbar's,Scotland,1,NA,NA,G
2262,John E. Fitzgerald,United States,1,NA,NA,G
2263,John E. Fitzgerald Larceny,United States,5,3,83.26,D
2264,John Emerald,United States,1,NA,NA,G
2265,John Handy,Scotland,1,NA,NA,G
2266,John J. Bowman,United States,6,2,86.67,C
2267,John Jacob,United States,1,NA,NA,G
2268,John Jameson,Ireland,11,4,82.43,D
2269,John Jameson & Son,Ireland,32,11,85.01,C
2270,John L. Sullivan,Ireland,3,2,79.5,E
2271,John Langer,,1,1,68,G
2272,John Lee,United States,2,1,24,G
2273,John Locke,Ireland,2,NA,NA,G
2274,John Malcom,Germany,2,1,67.25,G
2275,John McCrae,Scotland,1,NA,NA,G
2276,John McFours,Scotland,1,NA,NA,G
2277,John McGeary's,Scotland,1,NA,NA,G
2278,John Medley's,United States,2,2,72.17,F
2279,John Myer,United States,4,2,79.5,E
2280,John O'Groat's,Scotland,1,NA,NA,G
2281,John Player Special,Scotland,2,1,77,E
2282,John Poindexter,United States,1,NA,NA,G
2283,John Power & Son,Ireland,20,11,84.07,D
2284,John Scott's,Scotland,2,1,90,B
2285,John Stoddart's,Scotland,1,NA,NA,G
2286,John Walker & Sons,Scotland,19,7,89.44,C
2287,Johnett,Switzerland,16,6,77.24,E
2288,Johnnie Walker,Scotland,375,227,80.28,D
2289,Johnny Drum,United States,7,5,76.58,E
2290,Johnny Wright's,Scotland,1,1,80,D
2291,"Jon, Mark and Robbo's",Scotland,8,6,83.92,D
2292,Jones Road Distillery,Ireland,1,1,82.5,D
2293,Joseph Magnus,United States,8,6,90.42,B
2294,Joshua Brook,United States,2,2,75.25,E
2295,Joshua Brooks,United States,3,1,90,B
2296,Journeyman Distillery,United States,40,10,85.1,C
2297,Jp. Moshi-Moshi,Japan,1,1,75,E
2298,JSD,France,1,1,73,F
2299,JT Forwarder,United States,1,NA,NA,G
2300,Judd's,United States,1,NA,NA,G
2301,Julius James,Philippines,1,NA,NA,G
2302,Jura Cask,Scotland,1,1,86.67,C
2303,Jurassic,Scotland,3,2,77,E
2304,Jurgensen's,Scotland,1,NA,NA,G
2305,Juveniles,Scotland,3,3,85.7,C
2306,JZE Maryland,United States,1,NA,NA,G
2307,K5,Bhutan,2,1,77.67,E
2308,KaDeWe,Scotland,1,NA,NA,G
2309,Kaerilis,France,12,2,84.34,D
2310,Kagoshima,Japan,NA,NA,NA,G
2311,Kahlgrund Whisky,Germany,1,1,74,F
2312,Kaiyo,Japan,5,2,85,C
2313,Kamiki,Japan,1,1,77.67,E
2314,Kanosuke,Japan,1,NA,NA,G
2315,Kansas Clean Distilled,United States,1,NA,NA,G
2316,Karuizawa,Japan,525,364,88.87,C
2317,Kavalan,Taiwan,928,598,86.75,C
2318,Kavanagh,Ireland,6,1,77,E
2319,Kawasaki,Japan,9,9,90.36,B
2320,Keckeis,Austria,3,3,67.71,G
2321,Kellan,Ireland,1,NA,NA,G
2322,Kellerstrass,United States,2,NA,NA,G
2323,Kelt,Scotland,2,1,82,D
2324,Kelvin Hall,Scotland,1,1,88.33,C
2325,Kemper's Roggen Whisky,Germany,2,2,84.43,D
2326,Kempisch Vuur,Belgium,5,4,73.41,F
2327,Ken's Choice,United States,1,NA,NA,G
2328,Kenmore,Scotland,4,1,58,G
2329,Kennaway,Scotland,2,2,85.25,C
2330,Kenning,France,1,NA,NA,G
2331,Kensington Wine Market,,1,1,90,B
2332,Kentucky Baron,United States,1,NA,NA,G
2333,Kentucky Boat,United States,3,NA,NA,G
2334,Kentucky Bonded,United States,3,NA,NA,G
2335,Kentucky Colonel,United States,2,2,76,E
2336,Kentucky Crown,United States,2,1,94,B
2337,Kentucky Dale,United States,1,NA,NA,G
2338,Kentucky Deluxe,United States,3,NA,NA,G
2339,Kentucky Eagle,United States,2,NA,NA,G
2340,Kentucky Gentleman,United States,10,2,75.75,E
2341,Kentucky Gold,United States,1,NA,NA,G
2342,Kentucky Highway,United States,2,2,48.5,G
2343,Kentucky Jack,United States,2,NA,NA,G
2344,Kentucky Lucky Moonshine,United States,NA,NA,NA,G
2345,Kentucky Nectar,United States,1,NA,NA,G
2346,Kentucky Owl,United States,8,2,88.5,C
2347,Kentucky Pride,United States,1,NA,NA,G
2348,Kentucky Prize,United States,1,NA,NA,G
2349,Kentucky Straight Bourbon,United States,2,1,68.5,G
2350,Kentucky Tavern,United States,7,2,78,E
2351,Kentucky Vintage,United States,5,5,80.97,D
2352,Kentucky's Old Reserve,United States,1,1,82,D
2353,Kerby House,Scotland,1,NA,NA,G
2354,Kern,Ireland,1,NA,NA,G
2355,Kessler,United States,1,1,77,E
2356,Keuris,Netherlands,1,1,77.43,E
2357,Kikori Whiskey,Japan,1,1,62,G
2358,Kilbeggan,Ireland,37,22,77.2,E
2359,Kilbride Dam,Scotland,3,2,88.5,C
2360,Kilbridge,Scotland,1,NA,NA,G
2361,Kilchoman,Scotland,548,423,85.89,C
2362,Kildalton,Scotland,8,8,85.97,C
2363,Kilkerran,Scotland,94,84,85.13,C
2364,Killyloch,Scotland,4,3,87.75,C
2365,Kilmartin Glen,Scotland,3,2,77,E
2366,Kiln Embers,Scotland,1,1,83.23,D
2367,Kilvannon,Ireland,1,NA,NA,G
2368,Kinahan's,Ireland,2,2,82.29,D
2369,Kincaple,Scotland,2,2,74.9,F
2370,Kinclaith,Scotland,35,28,87.3,C
2371,Kindilan,Canada,1,NA,NA,G
2372,King Barley,Czech Republic,2,NA,NA,G
2373,King Barleycorn,Czech Republic,1,NA,NA,G
2374,King Charles,Scotland,1,1,78.5,E
2375,King Davis,Scotland,1,NA,NA,G
2376,King Duncan,Scotland,1,NA,NA,G
2377,King Edgar,Scotland,1,1,69,G
2378,King Edmund II,Scotland,1,NA,NA,G
2379,King Edward,Scotland,1,NA,NA,G
2380,King Edward I,Scotland,6,3,86.28,C
2381,King Edward The First,Scotland,1,NA,NA,G
2382,King George,Scotland,1,1,30,G
2383,King George IV,Scotland,16,3,82.67,D
2384,King Henry VIII,Scotland,1,NA,NA,G
2385,King James,Scotland,1,NA,NA,G
2386,King John,Scotland,4,1,83,D
2387,King Malcolm,Scotland,1,1,82,D
2388,King Mór,Scotland,2,1,78,E
2389,King of Kentucky,United States,1,NA,NA,G
2390,King of Queens,Scotland,4,2,77.5,E
2391,King of Scots,Scotland,14,7,77.11,E
2392,King Robert II,Scotland,4,4,70.04,F
2393,King William IV,Scotland,2,1,82.5,D
2394,King's Castle,Scotland,1,NA,NA,G
2395,King's Celebration,Scotland,1,NA,NA,G
2396,King's Choice,Scotland,10,1,78.5,E
2397,King's Crest,Scotland,3,3,83.11,D
